open_time,open,high,low,close,volume
2026-07-27T00:00:00+00:00,459,465,454,458.5,2
2026-07-27T00:15:00+00:00,459,459,459,459,7
2026-07-27T03:00:00+00:00,459,459,458.5,458.5,4
2026-07-27T03:15:00+00:00,460,460,460,460,1
2026-07-27T03:45:00+00:00,460,460,460,460,1
2026-07-27T06:30:00+00:00,457.5,457.5,457.5,457.5,1
2026-07-27T06:45:00+00:00,456,456,456,456,6
2026-07-27T07:00:00+00:00,456.5,456.5,455.5,455.5,7
2026-07-27T07:15:00+00:00,455.5,477,454.5,477,5
2026-07-27T08:15:00+00:00,476,476,475,475,73
2026-07-27T09:15:00+00:00,474,474,473.5,473.5,19
2026-07-27T09:30:00+00:00,473,473,473,473,1
2026-07-27T09:45:00+00:00,473,474,473,474,11
2026-07-27T10:00:00+00:00,473.5,473.5,473.5,473.5,1
2026-07-27T10:45:00+00:00,472.5,472.5,472.5,472.5,1
2026-07-27T11:00:00+00:00,473.5,474,473.5,473.5,21
2026-07-27T11:15:00+00:00,473,473.5,473,473.5,11
2026-07-27T11:45:00+00:00,472,472.5,472,472.5,2
2026-07-27T12:00:00+00:00,473,473,472.5,472.5,12
2026-07-27T12:15:00+00:00,474,474,474,474,7
2026-07-27T12:30:00+00:00,474,474,473.5,474,4
2026-07-27T13:30:00+00:00,474.5,475.5,474.5,475,8
2026-07-27T13:45:00+00:00,475.5,475.5,475,475,2
2026-07-27T14:15:00+00:00,475,475,474,474,3
2026-07-27T14:30:00+00:00,475,476.5,475,476.5,3
2026-07-27T14:45:00+00:00,476.5,476.5,476,476.5,3
2026-07-27T15:00:00+00:00,477,477,477,477,2
2026-07-27T15:15:00+00:00,476.5,476.5,476.5,476.5,1
2026-07-27T15:30:00+00:00,474,474,473,473,3
2026-07-27T16:00:00+00:00,475,475,474.5,475,3
2026-07-27T16:45:00+00:00,473,473,473,473,2
2026-07-27T17:00:00+00:00,473.5,473.5,472.5,472.5,7
2026-07-27T17:15:00+00:00,473,473,473,473,4
2026-07-27T17:45:00+00:00,473,473,473,473,2
2026-07-27T18:00:00+00:00,473.5,474,473,474,23
2026-07-27T18:15:00+00:00,474,474,474,474,3
2026-07-28T00:15:00+00:00,476,478,476,478,4
2026-07-28T01:00:00+00:00,478,478,478,478,2
2026-07-28T01:30:00+00:00,477.5,477.5,477.5,477.5,0
2026-07-28T01:45:00+00:00,478,478,478,478,12
2026-07-28T02:00:00+00:00,477.5,477.5,477.5,477.5,1
2026-07-28T02:15:00+00:00,476.5,476.5,476.5,476.5,2
2026-07-28T02:30:00+00:00,476.5,476.5,476.5,476.5,9
2026-07-28T06:45:00+00:00,473.5,474,473.5,474,5
2026-07-28T07:15:00+00:00,474.5,474.5,474.5,474.5,1
2026-07-28T10:00:00+00:00,491.5,491.5,491.5,491.5,18
2026-07-28T10:30:00+00:00,490.5,490.5,490.5,490.5,1
2026-07-28T11:15:00+00:00,490.5,490.5,490.5,490.5,9
2026-07-28T12:30:00+00:00,453.5,455,453.5,455,22
2026-07-28T13:30:00+00:00,453.5,457,453,457,29
2026-07-28T13:45:00+00:00,457,457,457,457,1
2026-07-28T14:00:00+00:00,457,458,457,458,9
2026-07-28T14:15:00+00:00,457,458,457,458,8
2026-07-28T14:30:00+00:00,458,458,457,457,5
2026-07-28T14:45:00+00:00,457,458,457,458,2
2026-07-28T15:00:00+00:00,458.5,459,458.5,459,3
2026-07-28T15:15:00+00:00,458.5,459.5,458.5,459.5,6
2026-07-28T15:30:00+00:00,459,460.5,458.5,460.5,29
2026-07-28T15:45:00+00:00,461,461.5,461,461,9
2026-07-28T16:00:00+00:00,461.5,462,461.5,462,5
2026-07-28T16:15:00+00:00,462,462,459,459,10
2026-07-28T16:30:00+00:00,460,460,459.5,459.5,2
2026-07-28T16:45:00+00:00,459,461,459,459,164
2026-07-28T17:00:00+00:00,459,459,459,459,1
2026-07-28T17:15:00+00:00,458,458,457.5,457.5,2
2026-07-28T17:45:00+00:00,458,458,457.5,457.5,5
2026-07-28T18:00:00+00:00,459,459,458.5,458.5,22
2026-07-28T18:15:00+00:00,458.5,458.5,458.5,458.5,3
2026-07-29T00:00:00+00:00,460,461,460,461,0
2026-07-29T02:00:00+00:00,459.5,459.5,459.5,459.5,17
2026-07-29T02:15:00+00:00,459,459,459,459,4
2026-07-29T02:30:00+00:00,459.5,459.5,459.5,459.5,1
2026-07-29T02:45:00+00:00,459,459,459,459,7
2026-07-29T03:00:00+00:00,460,460,460,460,1
2026-07-29T03:30:00+00:00,459.5,459.5,459,459,3
2026-07-29T04:15:00+00:00,459.5,459.5,459.5,459.5,1
2026-07-29T05:00:00+00:00,458.5,458.5,458.5,458.5,1
2026-07-29T05:15:00+00:00,458.5,458.5,458.5,458.5,1
2026-07-29T06:00:00+00:00,460,460,460,460,1
2026-07-29T06:15:00+00:00,461,461,461,461,1
2026-07-29T06:30:00+00:00,460,460,460,460,1
2026-07-29T07:45:00+00:00,459.5,459.5,459.5,459.5,2
2026-07-29T08:00:00+00:00,459,459,459,459,0
2026-07-29T08:30:00+00:00,458,458,458,458,61
2026-07-29T08:45:00+00:00,458.5,458.5,458.5,458.5,1
2026-07-29T09:00:00+00:00,458,458,458,458,2
2026-07-29T09:30:00+00:00,456.5,456.5,456.5,456.5,1
2026-07-29T09:45:00+00:00,456.5,456.5,456.5,456.5,1
2026-07-29T10:00:00+00:00,456.5,456.5,456.5,456.5,1
2026-07-29T10:15:00+00:00,456,456,455,455,18
2026-07-29T10:30:00+00:00,455,455,455,455,1
2026-07-29T10:45:00+00:00,454.5,456,454.5,456,3
2026-07-29T11:00:00+00:00,456,456,456,456,1
2026-07-29T11:30:00+00:00,456,456,455.5,455.5,2
2026-07-29T11:45:00+00:00,456.5,456.5,456.5,456.5,2
2026-07-29T12:00:00+00:00,455.5,455.5,455.5,455.5,2
2026-07-29T12:30:00+00:00,454.5,454.5,454.5,454.5,4
2026-07-29T13:30:00+00:00,455,455.5,454,454.5,20
2026-07-29T13:45:00+00:00,454.5,455,454,454,3
2026-07-29T14:00:00+00:00,452.5,453,452,452,11
2026-07-29T14:15:00+00:00,453.5,453.5,453.5,453.5,1
2026-07-29T14:30:00+00:00,454.5,454.5,454.5,454.5,2
2026-07-29T15:15:00+00:00,453,453,453,453,1
2026-07-29T15:45:00+00:00,451,451,451,451,6
2026-07-29T16:15:00+00:00,450,450,449.5,449.5,5
2026-07-29T16:45:00+00:00,450.5,450.5,450.5,450.5,1
2026-07-29T17:15:00+00:00,449.5,449.5,449.5,449.5,1
2026-07-29T18:00:00+00:00,449.5,449.5,449.5,449.5,3
2026-07-29T18:15:00+00:00,448,448,447.5,447.5,13
2026-07-30T00:00:00+00:00,447.5,447.5,446.5,446.5,4
2026-07-30T00:15:00+00:00,446,446.5,445.5,446.5,13
2026-07-30T00:30:00+00:00,446.5,446.5,446.5,446.5,2
2026-07-30T01:00:00+00:00,447.5,447.5,447.5,447.5,1
2026-07-30T01:15:00+00:00,448,448,448,448,1
2026-07-30T03:15:00+00:00,447,447,447,447,1
2026-07-30T04:00:00+00:00,446,446,446,446,1
2026-07-30T05:45:00+00:00,446.5,446.5,446.5,446.5,1
2026-07-30T06:45:00+00:00,450,450,450,450,2
2026-07-30T07:15:00+00:00,449.5,449.5,449.5,449.5,2
2026-07-30T08:00:00+00:00,474.5,474.5,474.5,474.5,30
2026-07-30T08:30:00+00:00,474.5,474.5,473.5,474,3
2026-07-30T08:45:00+00:00,473.5,473.5,473.5,473.5,2
2026-07-30T09:00:00+00:00,473.5,474,473.5,474,4
2026-07-30T10:00:00+00:00,474.5,474.5,474.5,474.5,1
2026-07-30T10:30:00+00:00,474.5,474.5,474.5,474.5,6
2026-07-30T11:00:00+00:00,473,474.5,473,474.5,3
2026-07-30T11:45:00+00:00,473.5,473.5,473.5,473.5,1
