open_time,open,high,low,close,volume
2026-07-27T00:00:00+00:00,683.5,683.5,675.5,677.5,19
2026-07-27T00:15:00+00:00,676,676,676,676,2
2026-07-27T00:30:00+00:00,674,674,674,674,2
2026-07-27T00:45:00+00:00,675.5,675.5,674,674,8
2026-07-27T01:15:00+00:00,676.5,676.5,676.5,676.5,1
2026-07-27T01:30:00+00:00,675.5,676.5,675.5,676.5,4
2026-07-27T02:15:00+00:00,677.5,677.5,677.5,677.5,6
2026-07-27T02:30:00+00:00,678.5,679,678.5,679,4
2026-07-27T03:00:00+00:00,678.5,678.5,678,678,3
2026-07-27T03:45:00+00:00,678.5,679,678.5,679,7
2026-07-27T04:00:00+00:00,678.5,678.5,678.5,678.5,2
2026-07-27T04:15:00+00:00,677.5,677.5,677.5,677.5,1
2026-07-27T05:00:00+00:00,678,678,678,678,2
2026-07-27T05:15:00+00:00,677,677,677,677,4
2026-07-27T05:30:00+00:00,676.5,676.5,675.5,675.5,4
2026-07-27T05:45:00+00:00,677.5,677.5,677.5,677.5,2
2026-07-27T06:00:00+00:00,681,681,679.5,679.5,7
2026-07-27T06:15:00+00:00,678,678,678,678,2
2026-07-27T06:30:00+00:00,676,676,676,676,1
2026-07-27T06:45:00+00:00,675.5,675.5,674.5,674.5,2
2026-07-27T07:00:00+00:00,676,676,676,676,1
2026-07-27T07:15:00+00:00,673,673,671,672,15
2026-07-27T07:30:00+00:00,672,672,672,672,1
2026-07-27T07:45:00+00:00,672,672,672,672,2
2026-07-27T08:00:00+00:00,673.5,673.5,673.5,673.5,1
2026-07-27T08:15:00+00:00,671.5,671.5,670,670,24
2026-07-27T08:30:00+00:00,669.5,669.5,669,669,2
2026-07-27T08:45:00+00:00,669,669,668,668,9
2026-07-27T09:00:00+00:00,670,670,670,670,8
2026-07-27T09:15:00+00:00,670,670,669,669,4
2026-07-27T09:45:00+00:00,667.5,668,667.5,667.5,7
2026-07-27T10:00:00+00:00,667,668,667,668,12
2026-07-27T10:15:00+00:00,670.5,670.5,670,670.5,15
2026-07-27T10:30:00+00:00,670,670,670,670,6
2026-07-27T11:15:00+00:00,670,670,670,670,3
2026-07-27T11:45:00+00:00,666.5,667.5,664,667.5,16
2026-07-27T12:00:00+00:00,669,669.5,669,669.5,11
2026-07-27T12:15:00+00:00,670,672,669,672,6
2026-07-27T12:30:00+00:00,673,674,673,673,24
2026-07-27T13:30:00+00:00,675,678,674,677.5,12
2026-07-27T13:45:00+00:00,677,677,672.5,673,21
2026-07-27T14:00:00+00:00,673.5,675.5,672,672.5,8
2026-07-27T14:15:00+00:00,673.5,673.5,671.5,671.5,3
2026-07-27T14:30:00+00:00,674,674,674,674,2
2026-07-27T14:45:00+00:00,674,674,671.5,671.5,14
2026-07-27T15:00:00+00:00,671.5,672,671.5,672,5
2026-07-27T15:15:00+00:00,668.5,668.5,668,668,3
2026-07-27T15:30:00+00:00,667,667,667,667,15
2026-07-27T15:45:00+00:00,667,667,667,667,1
2026-07-27T16:00:00+00:00,666.5,666.5,666.5,666.5,1
2026-07-27T16:15:00+00:00,668,668.5,668,668,3
2026-07-27T16:30:00+00:00,666,666,664.5,664.5,8
2026-07-27T16:45:00+00:00,663,663,662.5,662.5,4
2026-07-27T17:00:00+00:00,662.5,662.5,662,662,5
2026-07-27T17:15:00+00:00,661.5,663,660.5,660.5,3
2026-07-27T18:00:00+00:00,660.5,661,660,660,7
2026-07-27T18:15:00+00:00,658,658,657.5,657.5,9
2026-07-28T00:00:00+00:00,660,661,659,659,1
2026-07-28T00:15:00+00:00,661.5,661.5,661.5,661.5,2
2026-07-28T00:30:00+00:00,662,662,662,662,1
2026-07-28T00:45:00+00:00,662.5,662.5,661.5,661.5,2
2026-07-28T01:15:00+00:00,662,662,662,662,1
2026-07-28T01:30:00+00:00,663.5,663.5,663.5,663.5,14
2026-07-28T01:45:00+00:00,664,664.5,663.5,664.5,17
2026-07-28T02:15:00+00:00,662.5,662.5,662.5,662.5,1
2026-07-28T04:45:00+00:00,660,660,660,660,3
2026-07-28T05:30:00+00:00,660.5,660.5,660.5,660.5,1
2026-07-28T06:15:00+00:00,659,659.5,659,659.5,8
2026-07-28T06:30:00+00:00,657,657,656.5,656.5,26
2026-07-28T06:45:00+00:00,656.5,657,655,655,27
2026-07-28T07:00:00+00:00,656,656,654.5,654.5,18
2026-07-28T07:45:00+00:00,653.5,653.5,653.5,653.5,2
2026-07-28T08:00:00+00:00,653,653.5,653,653,26
2026-07-28T08:15:00+00:00,654.5,654.5,654.5,654.5,11
2026-07-28T09:00:00+00:00,657.5,658.5,657.5,658.5,2
2026-07-28T09:15:00+00:00,660,660,659.5,659.5,2
2026-07-28T09:45:00+00:00,657.5,657.5,657.5,657.5,2
2026-07-28T10:30:00+00:00,653.5,653.5,651,651,11
2026-07-28T10:45:00+00:00,653.5,653.5,652.5,653.5,6
2026-07-28T11:00:00+00:00,653,653,652,652,6
