open_time,open,high,low,close,volume
2026-08-26T13:00:00+00:00,4669.700195,4676.799805,4663.700195,4667.600098,4187
2026-08-26T13:05:00+00:00,4667.299805,4672.700195,4663.299805,4664.299805,2630
2026-08-26T13:10:00+00:00,4664.100098,4668.100098,4663,4666,2569
2026-08-26T13:15:00+00:00,4666.299805,4669.200195,4652.799805,4666.899902,5662
2026-08-26T13:20:00+00:00,4666.700195,4669.899902,4659.399902,4664.5,2756
2026-08-26T13:25:00+00:00,4664.799805,4668.100098,4660.200195,4666.600098,1636
2026-08-26T13:30:00+00:00,4666.700195,4674.399902,4665.399902,4670.899902,3596
2026-08-26T13:35:00+00:00,4671,4672.5,4667.600098,4668.600098,2316
2026-08-26T13:40:00+00:00,4668.899902,4678.399902,4666.899902,4674.799805,3379
2026-08-26T13:45:00+00:00,4674.700195,4680.899902,4673.399902,4680.600098,2221
2026-08-26T13:50:00+00:00,4680.399902,4684,4677.399902,4678.899902,3255
2026-08-26T13:55:00+00:00,4679.100098,4687.100098,4679,4686.600098,2621
2026-08-26T14:00:00+00:00,4686.799805,4688.5,4677.399902,4679.700195,3598
2026-08-26T14:05:00+00:00,4679.899902,4681.899902,4676.200195,4678.399902,1740
2026-08-26T14:10:00+00:00,4678.600098,4682.700195,4675,4676,1967
2026-08-26T14:15:00+00:00,4676.200195,4680.299805,4675.200195,4678.899902,1339
2026-08-26T14:20:00+00:00,4678.799805,4683,4675.100098,4676.799805,1496
2026-08-26T14:25:00+00:00,4676.899902,4677.200195,4672,4672.5,2092
2026-08-26T14:30:00+00:00,4672.200195,4675.600098,4670.5,4674.100098,1502
2026-08-26T14:35:00+00:00,4674.100098,4674.600098,4668.600098,4672.600098,1671
2026-08-26T14:40:00+00:00,4672.899902,4679.200195,4672.700195,4677.899902,1598
2026-08-26T14:45:00+00:00,4678,4678.899902,4667.5,4668.399902,2825
2026-08-26T14:50:00+00:00,4668.299805,4670.299805,4661.5,4663.299805,2110
2026-08-26T14:55:00+00:00,4663.399902,4668.200195,4658.100098,4658.299805,2645
2026-08-26T15:00:00+00:00,4658.5,4660.799805,4648.200195,4653.600098,5579
2026-08-26T15:05:00+00:00,4653.600098,4654,4642.899902,4653.100098,4759
2026-08-26T15:10:00+00:00,4653.100098,4655.200195,4643.100098,4644.200195,3066
2026-08-26T15:15:00+00:00,4644.100098,4649.399902,4637.899902,4646.5,4820
2026-08-26T15:20:00+00:00,4646.100098,4650.299805,4644.5,4647.299805,2145
2026-08-26T15:25:00+00:00,4647.200195,4653.899902,4645.799805,4650.299805,2398
2026-08-26T15:30:00+00:00,4650.200195,4653.700195,4649.700195,4653.600098,1401
2026-08-26T15:35:00+00:00,4653.700195,4657.100098,4652.5,4657,1882
2026-08-26T15:40:00+00:00,4656.799805,4660.299805,4655.399902,4660.299805,1839
2026-08-26T15:45:00+00:00,4660.299805,4664.700195,4659.799805,4663.5,1801
2026-08-26T15:50:00+00:00,4663.600098,4663.799805,4653.5,4656,2969
2026-08-26T15:55:00+00:00,4655.600098,4659.799805,4651.299805,4651.299805,1842
2026-08-26T16:00:00+00:00,4651.5,4654.600098,4645.799805,4652.700195,3110
2026-08-26T16:05:00+00:00,4652.5,4657.100098,4652.299805,4654.700195,1314
2026-08-26T16:10:00+00:00,4654.700195,4655.600098,4652.100098,4655.200195,766
2026-08-26T16:15:00+00:00,4655.399902,4655.899902,4651.799805,4654.100098,1130
2026-08-26T16:20:00+00:00,4654.200195,4654.700195,4648.799805,4650.899902,1033
2026-08-26T16:25:00+00:00,4651.200195,4652.200195,4649.100098,4650.200195,766
2026-08-26T16:30:00+00:00,4650,4651.5,4648.100098,4649.5,945
2026-08-26T16:35:00+00:00,4649.399902,4650.899902,4641.899902,4642.399902,1672
2026-08-26T16:40:00+00:00,4642.700195,4646.799805,4640.799805,4643.399902,1385
2026-08-26T16:45:00+00:00,4643.299805,4650.299805,4643.299805,4650.299805,1102
