open_time,open,high,low,close,volume
2026-07-27T00:00:00+00:00,683.5,683.5,675.5,676,21
2026-07-27T00:30:00+00:00,674,675.5,674,674,10
2026-07-27T01:00:00+00:00,676.5,676.5,676.5,676.5,1
2026-07-27T01:30:00+00:00,675.5,676.5,675.5,676.5,4
2026-07-27T02:00:00+00:00,677.5,677.5,677.5,677.5,6
2026-07-27T02:30:00+00:00,678.5,679,678.5,679,4
2026-07-27T03:00:00+00:00,678.5,678.5,678,678,3
2026-07-27T03:30:00+00:00,678.5,679,678.5,679,7
2026-07-27T04:00:00+00:00,678.5,678.5,677.5,677.5,3
2026-07-27T05:00:00+00:00,678,678,677,677,6
2026-07-27T05:30:00+00:00,676.5,677.5,675.5,677.5,6
2026-07-27T06:00:00+00:00,681,681,678,678,9
2026-07-27T06:30:00+00:00,676,676,674.5,674.5,3
2026-07-27T07:00:00+00:00,676,676,671,672,16
2026-07-27T07:30:00+00:00,672,672,672,672,3
2026-07-27T08:00:00+00:00,673.5,673.5,670,670,25
2026-07-27T08:30:00+00:00,669.5,669.5,668,668,11
2026-07-27T09:00:00+00:00,670,670,669,669,12
2026-07-27T09:30:00+00:00,667.5,668,667.5,667.5,7
2026-07-27T10:00:00+00:00,667,670.5,667,670.5,27
2026-07-27T10:30:00+00:00,670,670,670,670,6
2026-07-27T11:00:00+00:00,670,670,670,670,3
2026-07-27T11:30:00+00:00,666.5,667.5,664,667.5,16
2026-07-27T12:00:00+00:00,669,672,669,672,17
2026-07-27T12:30:00+00:00,673,674,673,673,24
2026-07-27T13:30:00+00:00,675,678,672.5,673,33
2026-07-27T14:00:00+00:00,673.5,675.5,671.5,671.5,11
2026-07-27T14:30:00+00:00,674,674,671.5,671.5,16
2026-07-27T15:00:00+00:00,671.5,672,668,668,8
2026-07-27T15:30:00+00:00,667,667,667,667,16
2026-07-27T16:00:00+00:00,666.5,668.5,666.5,668,4
2026-07-27T16:30:00+00:00,666,666,662.5,662.5,12
2026-07-27T17:00:00+00:00,662.5,663,660.5,660.5,8
2026-07-27T18:00:00+00:00,660.5,661,657.5,657.5,16
2026-07-28T00:00:00+00:00,660,661.5,659,661.5,3
2026-07-28T00:30:00+00:00,662,662.5,661.5,661.5,3
2026-07-28T01:00:00+00:00,662,662,662,662,1
2026-07-28T01:30:00+00:00,663.5,664.5,663.5,664.5,31
2026-07-28T02:00:00+00:00,662.5,662.5,662.5,662.5,1
2026-07-28T04:30:00+00:00,660,660,660,660,3
2026-07-28T05:30:00+00:00,660.5,660.5,660.5,660.5,1
2026-07-28T06:00:00+00:00,659,659.5,659,659.5,8
2026-07-28T06:30:00+00:00,657,657,655,655,53
2026-07-28T07:00:00+00:00,656,656,654.5,654.5,18
2026-07-28T07:30:00+00:00,653.5,653.5,653.5,653.5,2
2026-07-28T08:00:00+00:00,653,654.5,653,654.5,37
