open_time,open,high,low,close,volume
2026-08-26T11:50:00+00:00,29193,29227.5,29193,29218,7030
2026-08-26T11:55:00+00:00,29218,29222.75,29212.5,29220,3576
2026-08-26T12:00:00+00:00,29220,29224.25,29202,29219.5,6139
2026-08-26T12:05:00+00:00,29219.75,29222.75,29202.25,29212,3940
2026-08-26T12:10:00+00:00,29212.25,29222,29200.75,29215.75,4561
2026-08-26T12:15:00+00:00,29216,29216.75,29189.75,29203.75,5729
2026-08-26T12:20:00+00:00,29203.5,29235.25,29199.25,29230,6259
2026-08-26T12:25:00+00:00,29231,29259,29227.25,29258.25,5054
2026-08-26T12:30:00+00:00,29258,29270,29164,29176,18950
2026-08-26T12:35:00+00:00,29176.25,29181,29149,29172.5,12723
2026-08-26T12:40:00+00:00,29172.25,29188,29162.5,29165,10990
2026-08-26T12:45:00+00:00,29164.75,29181.25,29149.5,29175.25,11725
2026-08-26T12:50:00+00:00,29174.5,29181.75,29133,29145.25,14868
2026-08-26T12:55:00+00:00,29145.25,29163,29139.25,29150.75,12606
2026-08-26T13:00:00+00:00,29150.75,29164.75,29143.75,29153.25,9544
2026-08-26T13:05:00+00:00,29153.75,29166.5,29136.5,29138.75,9109
2026-08-26T13:10:00+00:00,29139,29173.25,29134.25,29172.25,8492
2026-08-26T13:15:00+00:00,29172.5,29174.25,29159.25,29164.5,7699
2026-08-26T13:20:00+00:00,29164,29165,29153,29162,4914
2026-08-26T13:25:00+00:00,29162.75,29174,29154.75,29173.75,11036
2026-08-26T13:30:00+00:00,29173.75,29281,29173.75,29255.75,89818
2026-08-26T13:35:00+00:00,29255.25,29275.5,29206.75,29236.75,86171
2026-08-26T13:40:00+00:00,29236.5,29313,29223.25,29291,64268
2026-08-26T13:45:00+00:00,29290.75,29317.5,29267.5,29268.5,45964
2026-08-26T13:50:00+00:00,29268.5,29309,29252.5,29308.25,46006
2026-08-26T13:55:00+00:00,29307.75,29333.25,29294.5,29331.5,36613
2026-08-26T14:00:00+00:00,29331,29332.25,29296.5,29305.25,30881
2026-08-26T14:05:00+00:00,29305.25,29311.5,29273.75,29282,29990
