open_time,open,high,low,close,volume
2026-08-17T00:00:00+00:00,691.5,691.5,688,688,2
2026-08-17T00:15:00+00:00,689,691,689,691,15
2026-08-17T00:20:00+00:00,691.5,691.5,691.5,691.5,1
2026-08-17T00:25:00+00:00,693,693,693,693,4
2026-08-17T00:35:00+00:00,694,694,694,694,1
2026-08-17T00:50:00+00:00,692.5,692.5,692.5,692.5,1
2026-08-17T01:15:00+00:00,691,691,691,691,1
2026-08-17T01:50:00+00:00,691.5,691.5,691.5,691.5,1
2026-08-17T02:45:00+00:00,689.5,689.5,689.5,689.5,1
2026-08-17T03:30:00+00:00,690,690,690,690,1
2026-08-17T03:55:00+00:00,689,689,689,689,1
2026-08-17T04:45:00+00:00,690,690,690,690,1
2026-08-17T05:15:00+00:00,689,690,689,690,2
2026-08-17T05:25:00+00:00,689.5,689.5,689.5,689.5,3
2026-08-17T06:40:00+00:00,690.5,691.5,690.5,691,22
2026-08-17T06:50:00+00:00,691,691,691,691,1
2026-08-17T06:55:00+00:00,689,689,689,689,3
2026-08-17T07:00:00+00:00,689.5,689.5,688.5,688.5,9
2026-08-17T07:05:00+00:00,687.5,687.5,687.5,687.5,4
2026-08-17T07:25:00+00:00,688,688.5,688,688.5,16
2026-08-17T07:35:00+00:00,688.5,688.5,688.5,688.5,1
2026-08-17T08:05:00+00:00,687.5,687.5,685.5,685.5,24
2026-08-17T08:35:00+00:00,685.5,685.5,685.5,685.5,4
2026-08-17T08:40:00+00:00,685,685,683,683.5,11
2026-08-17T08:45:00+00:00,685,685,685,685,3
2026-08-17T09:10:00+00:00,686,686,685.5,685.5,3
2026-08-17T09:45:00+00:00,685.5,685.5,685.5,685.5,1
2026-08-17T09:55:00+00:00,686.5,686.5,686.5,686.5,2
2026-08-17T10:10:00+00:00,685,685,685,685,1
2026-08-17T10:25:00+00:00,684,684,684,684,1
2026-08-17T10:40:00+00:00,684,684,684,684,2
2026-08-17T10:45:00+00:00,683.5,683.5,683.5,683.5,1
2026-08-17T11:00:00+00:00,682.5,682.5,682.5,682.5,12
2026-08-17T11:15:00+00:00,682.5,682.5,681.5,681.5,8
