open_time,open,high,low,close,volume
2026-07-27T00:00:00+00:00,459,465,454,459,9
2026-07-27T03:00:00+00:00,459,460,458.5,460,5
2026-07-27T03:30:00+00:00,460,460,460,460,1
2026-07-27T06:30:00+00:00,457.5,457.5,456,456,7
2026-07-27T07:00:00+00:00,456.5,477,454.5,477,12
2026-07-27T08:00:00+00:00,476,476,475,475,73
2026-07-27T09:00:00+00:00,474,474,473.5,473.5,19
2026-07-27T09:30:00+00:00,473,474,473,474,12
2026-07-27T10:00:00+00:00,473.5,473.5,473.5,473.5,1
2026-07-27T10:30:00+00:00,472.5,472.5,472.5,472.5,1
2026-07-27T11:00:00+00:00,473.5,474,473,473.5,32
2026-07-27T11:30:00+00:00,472,472.5,472,472.5,2
2026-07-27T12:00:00+00:00,473,474,472.5,474,19
2026-07-27T12:30:00+00:00,474,474,473.5,474,4
2026-07-27T13:30:00+00:00,474.5,475.5,474.5,475,10
2026-07-27T14:00:00+00:00,475,475,474,474,3
2026-07-27T14:30:00+00:00,475,476.5,475,476.5,6
2026-07-27T15:00:00+00:00,477,477,476.5,476.5,3
2026-07-27T15:30:00+00:00,474,474,473,473,3
2026-07-27T16:00:00+00:00,475,475,474.5,475,3
2026-07-27T16:30:00+00:00,473,473,473,473,2
2026-07-27T17:00:00+00:00,473.5,473.5,472.5,473,11
2026-07-27T17:30:00+00:00,473,473,473,473,2
2026-07-27T18:00:00+00:00,473.5,474,473,474,26
2026-07-28T00:00:00+00:00,476,478,476,478,4
2026-07-28T01:00:00+00:00,478,478,478,478,2
2026-07-28T01:30:00+00:00,477.5,478,477.5,478,12
2026-07-28T02:00:00+00:00,477.5,477.5,476.5,476.5,3
2026-07-28T02:30:00+00:00,476.5,476.5,476.5,476.5,9
2026-07-28T06:30:00+00:00,473.5,474,473.5,474,5
2026-07-28T07:00:00+00:00,474.5,474.5,474.5,474.5,1
2026-07-28T10:00:00+00:00,491.5,491.5,491.5,491.5,18
2026-07-28T10:30:00+00:00,490.5,490.5,490.5,490.5,1
2026-07-28T11:00:00+00:00,490.5,490.5,490.5,490.5,9
2026-07-28T12:30:00+00:00,453.5,455,453.5,455,22
2026-07-28T13:30:00+00:00,453.5,457,453,457,30
2026-07-28T14:00:00+00:00,457,458,457,458,17
2026-07-28T14:30:00+00:00,458,458,457,458,7
2026-07-28T15:00:00+00:00,458.5,459.5,458.5,459.5,9
2026-07-28T15:30:00+00:00,459,461.5,458.5,461,38
2026-07-28T16:00:00+00:00,461.5,462,459,459,15
2026-07-28T16:30:00+00:00,460,461,459,459,166
2026-07-28T17:00:00+00:00,459,459,457.5,457.5,3
2026-07-28T17:30:00+00:00,458,458,457.5,457.5,5
2026-07-28T18:00:00+00:00,459,459,458.5,458.5,25
2026-07-29T00:00:00+00:00,460,461,460,461,0
2026-07-29T02:00:00+00:00,459.5,459.5,459,459,21
2026-07-29T02:30:00+00:00,459.5,459.5,459,459,8
2026-07-29T03:00:00+00:00,460,460,460,460,1
2026-07-29T03:30:00+00:00,459.5,459.5,459,459,3
2026-07-29T04:00:00+00:00,459.5,459.5,459.5,459.5,1
2026-07-29T05:00:00+00:00,458.5,458.5,458.5,458.5,2
2026-07-29T06:00:00+00:00,460,461,460,461,2
2026-07-29T06:30:00+00:00,460,460,460,460,1
2026-07-29T07:30:00+00:00,459.5,459.5,459.5,459.5,2
2026-07-29T08:00:00+00:00,459,459,459,459,0
2026-07-29T08:30:00+00:00,458,458.5,458,458.5,62
2026-07-29T09:00:00+00:00,458,458,458,458,2
2026-07-29T09:30:00+00:00,456.5,456.5,456.5,456.5,2
2026-07-29T10:00:00+00:00,456.5,456.5,455,455,19
2026-07-29T10:30:00+00:00,455,456,454.5,456,4
2026-07-29T11:00:00+00:00,456,456,456,456,1
2026-07-29T11:30:00+00:00,456,456.5,455.5,456.5,4
2026-07-29T12:00:00+00:00,455.5,455.5,455.5,455.5,2
2026-07-29T12:30:00+00:00,454.5,454.5,454.5,454.5,4
2026-07-29T13:30:00+00:00,455,455.5,454,454,23
2026-07-29T14:00:00+00:00,452.5,453.5,452,453.5,12
2026-07-29T14:30:00+00:00,454.5,454.5,454.5,454.5,2
2026-07-29T15:00:00+00:00,453,453,453,453,1
2026-07-29T15:30:00+00:00,451,451,451,451,6
2026-07-29T16:00:00+00:00,450,450,449.5,449.5,5
2026-07-29T16:30:00+00:00,450.5,450.5,450.5,450.5,1
2026-07-29T17:00:00+00:00,449.5,449.5,449.5,449.5,1
2026-07-29T18:00:00+00:00,449.5,449.5,447.5,447.5,16
2026-07-30T00:00:00+00:00,447.5,447.5,445.5,446.5,17
2026-07-30T00:30:00+00:00,446.5,446.5,446.5,446.5,2
2026-07-30T01:00:00+00:00,447.5,448,447.5,448,2
2026-07-30T03:00:00+00:00,447,447,447,447,1
2026-07-30T04:00:00+00:00,446,446,446,446,1
2026-07-30T05:30:00+00:00,446.5,446.5,446.5,446.5,1
2026-07-30T06:30:00+00:00,450,450,450,450,2
2026-07-30T07:00:00+00:00,449.5,449.5,449.5,449.5,2
2026-07-30T08:00:00+00:00,474.5,474.5,474.5,474.5,30
2026-07-30T08:30:00+00:00,474.5,474.5,473.5,473.5,5
2026-07-30T09:00:00+00:00,473.5,474,473.5,474,4
2026-07-30T10:00:00+00:00,474.5,474.5,474.5,474.5,1
2026-07-30T10:30:00+00:00,474.5,474.5,474.5,474.5,6
2026-07-30T11:00:00+00:00,473,474.5,473,474.5,3
2026-07-30T11:30:00+00:00,473.5,473.5,473.5,473.5,1
2026-07-30T12:00:00+00:00,473.5,473.5,473.5,473.5,5
2026-07-30T13:30:00+00:00,473,474.5,473,474.5,5
2026-07-30T14:30:00+00:00,474.5,474.5,474,474,2
2026-07-30T15:00:00+00:00,474.5,474.5,472,472,21
2026-07-30T15:30:00+00:00,472.5,472.5,471.5,471.5,5
2026-07-30T16:00:00+00:00,472.5,472.5,472.5,472.5,1
2026-07-30T16:30:00+00:00,470.5,471,470,471,22
2026-07-30T17:00:00+00:00,471,471,469.5,469.5,5
2026-07-30T17:30:00+00:00,470,470,470,470,5
2026-07-30T18:00:00+00:00,469,469,466.5,466.5,6
2026-07-31T00:00:00+00:00,468.5,470,468,470,1
2026-07-31T00:30:00+00:00,469.5,469.5,468.5,468.5,4
2026-07-31T03:00:00+00:00,469,469,469,469,1
2026-07-31T04:30:00+00:00,469,469,469,469,1
2026-07-31T06:00:00+00:00,445.5,445.5,445.5,445.5,0
2026-07-31T07:30:00+00:00,444.5,444.5,444.5,444.5,14
2026-07-31T08:30:00+00:00,445.5,445.5,445.5,445.5,3
2026-07-31T09:00:00+00:00,445,445,445,445,1
2026-07-31T09:30:00+00:00,444,444,443.5,443.5,2
2026-07-31T10:30:00+00:00,444.5,444.5,444.5,444.5,1
2026-07-31T11:00:00+00:00,444.5,444.5,444.5,444.5,1
2026-07-31T12:00:00+00:00,444,444,442.5,442.5,14
2026-07-31T12:30:00+00:00,442.5,442.5,442.5,442.5,2
2026-07-31T13:30:00+00:00,443,443.5,440,442,41
2026-07-31T14:00:00+00:00,442,442.5,441,442.5,22
2026-07-31T14:30:00+00:00,443,443,443,443,1
2026-07-31T15:30:00+00:00,441,441,441,441,4
2026-07-31T16:00:00+00:00,439,439,439,439,2
2026-07-31T17:00:00+00:00,439,439,438,438,2
2026-07-31T17:30:00+00:00,440,440,439,439,2
2026-07-31T18:00:00+00:00,439,441,439,441,14
2026-08-03T00:00:00+00:00,439.5,439.5,436,437,12
2026-08-03T00:30:00+00:00,435.5,436,435.5,436,14
2026-08-03T01:30:00+00:00,437,437,437,437,2
2026-08-03T02:30:00+00:00,437.5,437.5,437.5,437.5,4
2026-08-03T03:30:00+00:00,437,437,437,437,1
2026-08-03T08:00:00+00:00,438,438.5,437.5,437.5,11
2026-08-03T09:00:00+00:00,439,439,439,439,1
2026-08-03T10:00:00+00:00,439,439,439,439,1
2026-08-03T11:00:00+00:00,438.5,438.5,438.5,438.5,1
2026-08-03T11:30:00+00:00,438.5,438.5,438.5,438.5,1
2026-08-03T13:30:00+00:00,438,441,438,441,171
2026-08-03T14:00:00+00:00,440.5,443.5,440.5,442.5,67
2026-08-03T14:30:00+00:00,442,442.5,442,442.5,2
2026-08-03T15:00:00+00:00,444,446,444,446,8
2026-08-03T15:30:00+00:00,446.5,447,446.5,447,15
2026-08-03T16:00:00+00:00,447,447,446.5,447,10
2026-08-03T16:30:00+00:00,447,448,446.5,448,14
2026-08-03T17:00:00+00:00,448,449,448,449,18
2026-08-03T17:30:00+00:00,448,449.5,448,449.5,45
2026-08-03T18:00:00+00:00,449.5,450,449,450,5
2026-08-04T00:00:00+00:00,452,452,450,450,5
2026-08-04T02:00:00+00:00,450.5,451,450.5,451,6
2026-08-04T03:00:00+00:00,450.5,450.5,450.5,450.5,1
2026-08-04T05:00:00+00:00,451,451,451,451,1
2026-08-04T06:00:00+00:00,450,450,450,450,1
2026-08-04T06:30:00+00:00,449,449,449,449,1
2026-08-04T07:00:00+00:00,449,449,449,449,1
2026-08-04T07:30:00+00:00,450.5,452,450.5,450.5,17
2026-08-04T08:00:00+00:00,450.5,450.5,450.5,450.5,1
2026-08-04T10:30:00+00:00,450,450,450,450,1
2026-08-04T11:30:00+00:00,447,447.5,446.5,446.5,8
2026-08-04T12:00:00+00:00,448,448,448,448,1
2026-08-04T13:30:00+00:00,446,446.5,444.5,446.5,19
2026-08-04T14:00:00+00:00,444.5,444.5,443.5,443.5,4
2026-08-04T14:30:00+00:00,444,444,442.5,443.5,25
2026-08-04T15:00:00+00:00,442.5,442.5,442,442,2
2026-08-04T15:30:00+00:00,465,465.5,464.5,464.5,10
2026-08-04T16:00:00+00:00,464.5,464.5,464.5,464.5,1
2026-08-04T17:00:00+00:00,464.5,466.5,464.5,466.5,7
2026-08-04T17:30:00+00:00,465.5,466.5,465.5,466.5,3
2026-08-04T18:00:00+00:00,466,466,465,465,4
2026-08-05T00:00:00+00:00,465,465,464,464.5,13
2026-08-05T00:30:00+00:00,463,463,463,463,15
2026-08-05T01:00:00+00:00,463,463.5,463,463.5,9
2026-08-05T01:30:00+00:00,463,463,462.5,462.5,3
2026-08-05T02:00:00+00:00,463.5,463.5,463.5,463.5,1
2026-08-05T02:30:00+00:00,462.5,463.5,462.5,463.5,2
2026-08-05T04:00:00+00:00,464,464,464,464,2
2026-08-05T05:00:00+00:00,464,464,464,464,1
2026-08-05T05:30:00+00:00,464,464,464,464,1
2026-08-05T06:00:00+00:00,463,463,463,463,6
2026-08-05T06:30:00+00:00,464.5,464.5,464.5,464.5,2
2026-08-05T07:30:00+00:00,464,464,440,440,58
2026-08-05T08:30:00+00:00,439.5,439.5,439.5,439.5,3
2026-08-05T09:30:00+00:00,438,438,438,438,20
2026-08-05T10:00:00+00:00,438,438,438,438,3
2026-08-05T10:30:00+00:00,437.5,437.5,437,437,2
2026-08-05T11:00:00+00:00,437,437,436,436,11
2026-08-05T12:00:00+00:00,436,436,436,436,2
2026-08-05T13:30:00+00:00,439.5,439.5,435,437,28
2026-08-05T14:00:00+00:00,438.5,438.5,437.5,438.5,25
2026-08-05T14:30:00+00:00,437,437,437,437,1
2026-08-05T15:30:00+00:00,437,437,436.5,436.5,9
2026-08-05T16:30:00+00:00,437,437,437,437,2
2026-08-05T17:00:00+00:00,437.5,437.5,437,437,22
2026-08-05T17:30:00+00:00,438,438,437,437,4
2026-08-05T18:00:00+00:00,436.5,436.5,436.5,436.5,1
2026-08-06T00:00:00+00:00,440.5,440.5,436.5,437.5,9
2026-08-06T00:30:00+00:00,438,438.5,437,438.5,8
2026-08-06T01:00:00+00:00,439,439,439,439,1
2026-08-06T06:00:00+00:00,438,438,438,438,1
2026-08-06T07:00:00+00:00,437,437,437,437,1
2026-08-06T09:00:00+00:00,438.5,438.5,438,438,5
2026-08-06T09:30:00+00:00,437.5,437.5,437.5,437.5,1
2026-08-06T10:00:00+00:00,437,437,436.5,437,10
2026-08-06T10:30:00+00:00,438,438,438,438,9
2026-08-06T11:30:00+00:00,436,436,436,436,1
2026-08-06T12:00:00+00:00,436,436.5,436,436.5,43
2026-08-06T13:30:00+00:00,436.5,439.5,436.5,436.5,59
2026-08-06T14:00:00+00:00,435.5,436,435.5,436,7
2026-08-06T14:30:00+00:00,435.5,436.5,435.5,436.5,2
2026-08-06T15:00:00+00:00,437.5,437.5,437.5,437.5,3
2026-08-06T15:30:00+00:00,437,437,437,437,1
2026-08-06T16:00:00+00:00,435,435,434.5,434.5,5
